Accession,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Highest mean condition,Lowest mean condition,Description,20170831_UDMSE_CONTROL_R001,20170831_UDMSE_CONTROL_R002,20170831_UDMSE_CONTROL_R003,20170831_UDMSE_INFECTED_R001,20170831_UDMSE_INFECTED_R002,20170831_UDMSE_INFECTED_R003,20170831_UDMSE_CONTROL_raw_R001,20170831_UDMSE_CONTROL_raw_R002,20170831_UDMSE_CONTROL_raw_R003,20170831_UDMSE_INFECTED__raw_R001,20170831_UDMSE_INFECTED_raw_R002,20170831_UDMSE_INFECTED_raw_003
A0A0D9REI2,3,2,15.5334,0.016687857,0.004048503,1.27687281,0.83640708,C,I,La ribonucleoprotein domain family member 1 OS=Chlorocebus sabaeus GN=LARP1 PE=4 SV=1,6699.987593,5726.866534,5574.678695,4790.392658,4505.814668,4801.933604,6699.987593,5726.866534,5574.678695,4790.392658,4505.814668,4801.933604
A0A0D9RHK4,1,1,5.358,0.016803374,0.0040714,2.146477293,0.834990335,C,I,Collagen triple helix repeat containing 1 OS=Chlorocebus sabaeus GN=CTHRC1 PE=4 SV=1,5280.454619,4890.982196,4187.853519,2540.471382,1480.961137,2668.268034,5280.454619,4890.982196,4187.853519,2540.471382,1480.961137,2668.268034
A0A0D9S8T4;A0A0D9SDY5,6,3,58.6576,0.016987125,0.004110751,1.066483242,0.832743987,I,C,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,64194.12994,64564.60732,61755.49311,67992.17768,68567.07061,66620.98574,64194.12994,64564.60732,61755.49311,67992.17768,68567.07061,66620.98574
A0A0D9QYB7,3,1,15.574,0.017524801,0.004235543,1.583544875,0.826222588,I,C,Phosphoribosyl pyrophosphate synthetase associated protein 1 OS=Chlorocebus sabaeus GN=PRPSAP1 PE=4 SV=1,2609.670303,2913.088054,2774.954897,3818.963382,3930.741935,5390.095978,2609.670303,2913.088054,2774.954897,3818.963382,3930.741935,5390.095978
A0A0D9R0Y6,17,4,94.7823,0.017554681,0.004237448,1.355368177,0.825862461,C,I,Crystallin beta-gamma domain containing 3 OS=Chlorocebus sabaeus GN=CRYBG3 PE=3 SV=1,22606.84394,26521.71213,28420.68059,20505.24697,18388.74423,18322.37111,22606.84394,26521.71213,28420.68059,20505.24697,18388.74423,18322.37111
A0A0D9R6Z5,9,5,61.2239,0.017767243,0.00428339,1.185059398,0.82330758,C,I,Splicing factor 3b subunit 2 OS=Chlorocebus sabaeus GN=SF3B2 PE=4 SV=1,62305.03585,64784.40504,71958.21093,56161.71883,56292.9979,55509.56597,62305.03585,64784.40504,71958.21093,56161.71883,56292.9979,55509.56597
A0A0D9RNP1,5,1,29.2561,0.017803352,0.00428673,1.248515902,0.822874792,C,I,ADP ribosylation factor like GTPase 8A OS=Chlorocebus sabaeus GN=ARL8A PE=3 SV=1,6296.602893,6884.599999,7403.051095,5495.919174,5188.47073,5802.587912,6296.602893,6884.599999,7403.051095,5495.919174,5188.47073,5802.587912
A0A0D9RYK8,13,8,92.4835,0.017834832,0.004288949,1.047293778,0.822497778,C,I,Fascin OS=Chlorocebus sabaeus GN=FSCN1 PE=3 SV=1,66887.04783,65955.71745,67692.36574,64921.98376,62892.07109,63665.29432,66887.04783,65955.71745,67692.36574,64921.98376,62892.07109,63665.29432
A0A0D9RQP9,6,2,26.351,0.017871073,0.004292305,1.167673796,0.822064072,I,C,Dynein cytoplasmic 1 intermediate chain 2 OS=Chlorocebus sabaeus GN=DYNC1I2 PE=4 SV=1,9342.537952,9241.369815,9310.262163,11206.98528,11343.18062,10021.12539,9342.537952,9241.369815,9310.262163,11206.98528,11343.18062,10021.12539
REVERSE11671,3,1,18.5634,0.01792579,0.004299278,1.208239727,0.821409946,C,I,Reversed Sequence 11671,11131.06753,10093.61756,9549.250532,8438.974864,8249.488307,8781.594566,11131.06753,10093.61756,9549.250532,8438.974864,8249.488307,8781.594566
A0A0D9S4U2,3,2,12.6055,0.017944742,0.004299278,1.213166803,0.821183576,C,I,Interleukin 31 OS=Chlorocebus sabaeus GN=IL31 PE=4 SV=1,25957.05022,22709.49341,24053.05808,19083.79521,19660.47404,21197.69548,25957.05022,22709.49341,24053.05808,19083.79521,19660.47404,21197.69548
A0A0D9RJN2,13,7,79.7538,0.018104255,0.004332107,1.292049285,0.819282174,I,C,CD2 associated protein OS=Chlorocebus sabaeus GN=CD2AP PE=4 SV=1,33021.95482,35332.68999,28454.20899,43163.66979,41758.82978,40159.31077,33021.95482,35332.68999,28454.20899,43163.66979,41758.82978,40159.31077
A0A0D9R6B6,3,2,12.9146,0.018170998,0.004342683,1.368651561,0.818488671,I,C,Eukaryotic translation initiation factor 3 subunit D OS=Chlorocebus sabaeus GN=EIF3D PE=3 SV=1,6939.350412,6772.715437,8456.066709,9438.506162,10922.68599,9979.257071,6939.350412,6772.715437,8456.066709,9438.506162,10922.68599,9979.257071
A0A0D9QYU3,1,1,4.0418,0.018372099,0.004384306,1.67178464,0.816105222,C,I,Lin-7 homolog C_ crumbs cell polarity complex component OS=Chlorocebus sabaeus GN=LIN7C PE=4 SV=1,10882.78609,9411.166276,8531.494387,6665.353231,6045.374824,4531.592553,10882.78609,9411.166276,8531.494387,6665.353231,6045.374824,4531.592553
REVERSE418,2,1,8.3117,0.018392752,0.004384306,1.262078334,0.81586108,C,I,Reversed Sequence 418,7576.523621,6780.957676,8168.41829,5820.29837,5767.639001,6260.320527,7576.523621,6780.957676,8168.41829,5820.29837,5767.639001,6260.320527
REVERSE9612,10,1,57.3564,0.018413442,0.004384306,1.185606722,0.815616611,C,I,Reversed Sequence 9612,13531.96688,14162.42372,13170.0076,10815.47763,11294.90671,12356.69268,13531.96688,14162.42372,13170.0076,10815.47763,11294.90671,12356.69268
A0A0D9QWM0,5,4,30.6597,0.018896685,0.004493813,1.320114351,0.809940628,I,C,Glutaredoxin 3 OS=Chlorocebus sabaeus GN=GLRX3 PE=4 SV=1,108405.5984,119849.2643,139634.9362,160742.7,165027.6199,159886.2832,108405.5984,119849.2643,139634.9362,160742.7,165027.6199,159886.2832
A0A0D9R8Y5,2,2,13.8541,0.019078857,0.00453154,1.383495701,0.80781779,C,I,CCHC-type zinc finger nucleic acid binding protein OS=Chlorocebus sabaeus GN=CNBP PE=4 SV=1,10895.95189,11105.46213,13883.27314,8767.83012,8126.231289,9043.631881,10895.95189,11105.46213,13883.27314,8767.83012,8126.231289,9043.631881
A0A0D9RNC6,6,5,24.1546,0.019110434,0.004533451,1.193460793,0.807450769,C,I,Pitrilysin metallopeptidase 1 OS=Chlorocebus sabaeus GN=PITRM1 PE=4 SV=1,90249.90501,84284.52731,80291.14332,72023.04773,66932.31773,74562.81391,90249.90501,84284.52731,80291.14332,72023.04773,66932.31773,74562.81391
A0A0D9R9G7,37,26,244.1334,0.019175743,0.004543348,1.079303472,0.806692566,I,C,Vinculin OS=Chlorocebus sabaeus GN=VCL PE=4 SV=1,296538.5252,304625.7165,316341.9545,330257.2231,334274.7594,325735.6409,296538.5252,304625.7165,316341.9545,330257.2231,334274.7594,325735.6409
A0A0D9R507,2,1,12.9337,0.019247496,0.004554746,1.315393073,0.80586092,I,C,Golgi membrane protein 1 OS=Chlorocebus sabaeus GN=GOLM1 PE=4 SV=1,11914.25238,10406.50076,9449.500435,14668.58654,13261.81432,13859.97061,11914.25238,10406.50076,9449.500435,14668.58654,13261.81432,13859.97061
A0A0D9S5N9,3,2,26.2128,0.019424475,0.004590987,1.243495405,0.803815842,C,I,Protein S100 OS=Chlorocebus sabaeus GN=S100A4 PE=3 SV=1,27545.86444,29281.14937,26343.02851,24406.54451,20635.04526,21842.48715,27545.86444,29281.14937,26343.02851,24406.54451,20635.04526,21842.48715
A0A0D9S860,8,5,62.3863,0.019587883,0.004623935,1.21767916,0.801935362,C,I,Stathmin OS=Chlorocebus sabaeus GN=STMN1 PE=3 SV=1,58958.42727,65402.70599,58713.90795,53501.05144,50038.74905,46807.71897,58958.42727,65402.70599,58713.90795,53501.05144,50038.74905,46807.71897
A0A0D9R8E6,9,7,52.1696,0.019757732,0.004658321,1.146064198,0.799988704,I,C,Prolyl 4-hydroxylase subunit alpha 1 OS=Chlorocebus sabaeus GN=P4HA1 PE=4 SV=1,35232.83442,31878.28403,31346.41492,37785.27759,37654.16629,37399.21015,35232.83442,31878.28403,31346.41492,37785.27759,37654.16629,37399.21015
A0A0D9RQS4,4,2,21.2144,0.019807935,0.004664448,1.251757835,0.799414863,C,I,Peptidylprolyl isomerase OS=Chlorocebus sabaeus GN=FKBP9 PE=4 SV=1,12572.27023,12351.55774,11144.86154,8738.897591,10162.75171,9912.781491,12572.27023,12351.55774,11144.86154,8738.897591,10162.75171,9912.781491
A0A0D9QUP0,1,1,4.2321,0.019993427,0.00470238,1.128917309,0.797300777,I,C,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,4499.59389,4973.153372,4916.679709,5401.691946,5495.114757,5347.666472,4499.59389,4973.153372,4916.679709,5401.691946,5495.114757,5347.666472
A0A0D9RFM7;A0A0D9S9D4;A0A0D9SE27;A0A0D9QUP6;A0A0D9RFI2;A0A0D9SAT6;A0A0D9SBT1,4,1,39.8945,0.02005787,0.004711783,1.376182423,0.796568566,I,C,Ribosomal protein S2 OS=Chlorocebus sabaeus GN=RPS2 PE=3 SV=1,8626.295775,7278.301178,6393.389084,10345.32395,10029.48843,10311.28407,8626.295775,7278.301178,6393.389084,10345.32395,10029.48843,10311.28407
A0A0D9R4W3,3,2,19.9518,0.020200882,0.004736103,1.107369346,0.794947796,I,C,Cathepsin L OS=Chlorocebus sabaeus GN=CTSL PE=3 SV=1,19388.19541,19068.68852,19695.8258,22253.29051,21717.61758,20425.62004,19388.19541,19068.68852,19695.8258,22253.29051,21717.61758,20425.62004
REVERSE13427,3,2,25.1967,0.020210573,0.004736103,1.086311831,0.794838176,I,C,Reversed Sequence 13427,72151.33291,69691.96016,70761.42197,78270.4731,73994.43599,78690.10821,72151.33291,69691.96016,70761.42197,78270.4731,73994.43599,78690.10821
REVERSE10238,2,2,8.908,0.020327558,0.004757729,1.176367421,0.79351695,C,I,Reversed Sequence 10238,12973.26875,12769.9574,13616.48372,11774.53733,11364.38461,10319.76551,12973.26875,12769.9574,13616.48372,11774.53733,11364.38461,10319.76551
A0A0D9S052,2,2,10.639,0.020362526,0.00476013,1.177486866,0.793122772,C,I,Cytochrome b5 type A OS=Chlorocebus sabaeus GN=CYB5A PE=3 SV=1,8974.654032,9871.490164,9805.927055,8156.359252,8524.436119,7652.445259,8974.654032,9871.490164,9805.927055,8156.359252,8524.436119,7652.445259
A0A0D9RJE1,18,14,104.8395,0.02080547,0.004853105,1.118396084,0.788159263,I,C,DExH-box helicase 9 OS=Chlorocebus sabaeus GN=DHX9 PE=4 SV=1,104233.3201,99092.95223,107940.6272,118435.1454,112064.1104,117620.4257,104233.3201,99092.95223,107940.6272,118435.1454,112064.1104,117620.4257
REVERSE12333,3,1,18.3161,0.020810638,0.004853105,1.254445592,0.78810168,C,I,Reversed Sequence 12333,2562.545054,2945.807315,2815.646883,2411.267614,2071.226609,2153.10584,2562.545054,2945.807315,2815.646883,2411.267614,2071.226609,2153.10584
A0A0D9RUC0,9,1,61.4026,0.020847226,0.004855759,2.610664383,0.787694187,C,I,Neurofilament medium OS=Chlorocebus sabaeus GN=NEFM PE=3 SV=1,4529.626707,3892.794085,2062.684427,1222.132504,1358.110375,1436.016465,4529.626707,3892.794085,2062.684427,1222.132504,1358.110375,1436.016465
A0A0D9S4E1,5,4,56.5314,0.020935123,0.004870343,1.178434099,0.786716794,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,52544.44115,47220.60986,50696.77541,39925.89783,43898.04528,43855.51434,52544.44115,47220.60986,50696.77541,39925.89783,43898.04528,43855.51434
A0A0D9RGL9,17,7,85.8697,0.021121997,0.00490789,1.102598729,0.784645951,C,I,Treacle ribosome biogenesis factor 1 OS=Chlorocebus sabaeus GN=TCOF1 PE=4 SV=1,38483.59521,39242.95606,40329.718,37300.59363,35183.98723,34586.34723,38483.59521,39242.95606,40329.718,37300.59363,35183.98723,34586.34723
A0A0D9RZP1,3,2,15.4706,0.021222432,0.004925286,1.188032168,0.783537007,C,I,Myosin VB OS=Chlorocebus sabaeus GN=MYO5B PE=4 SV=1,16625.24851,16201.77528,17226.27507,12847.10229,14534.46346,14749.6999,16625.24851,16201.77528,17226.27507,12847.10229,14534.46346,14749.6999
A0A0D9RIV1,6,5,38.2195,0.021684244,0.005022669,1.138483985,0.778474061,C,I,Ribosomal protein L30 OS=Chlorocebus sabaeus GN=RPL30 PE=3 SV=1,66584.50063,70522.87126,66287.69561,56751.9409,59086.19239,62816.17385,66584.50063,70522.87126,66287.69561,56751.9409,59086.19239,62816.17385
A0A0D9RTP1,2,1,15.006,0.021694196,0.005022669,3.457960527,0.7783656,I,C,Exostosin like glycosyltransferase 3 OS=Chlorocebus sabaeus GN=EXTL3 PE=4 SV=1,572.3969789,1627.378703,542.5029609,3827.979338,2632.673049,3022.038915,572.3969789,1627.378703,542.5029609,3827.979338,2632.673049,3022.038915
A0A0D9QXG8,2,1,17.417,0.021759768,0.005031803,1.183819406,0.777651704,C,I,BCL2 associated athanogene 3 OS=Chlorocebus sabaeus GN=BAG3 PE=4 SV=1,5837.53103,5203.025026,5276.737033,4435.248742,4490.816353,4857.53484,5837.53103,5203.025026,5276.737033,4435.248742,4490.816353,4857.53484
A0A0D9QWR3,11,5,110.2134,0.02184559,0.005045591,1.155372569,0.776719131,C,I,Heterogeneous nuclear ribonucleoprotein D like OS=Chlorocebus sabaeus GN=HNRNPDL PE=4 SV=1,49243.2982,43217.71856,46000.33825,40815.37867,39388.54623,39637.37889,49243.2982,43217.71856,46000.33825,40815.37867,39388.54623,39637.37889
A0A0D9REY7,4,1,14.9331,0.022045942,0.005085768,33.71553115,0.774549944,I,C,Basic leucine zipper and W2 domains 1 OS=Chlorocebus sabaeus GN=BZW1 PE=4 SV=1,23.82107928,11.97943115,0,459.3186821,396.8849125,350.82963,23.82107928,11.97943115,0,459.3186821,396.8849125,350.82963
A0A0D9R3Z8,2,1,16.5642,0.022187336,0.005112264,1.094287774,0.773025757,I,C,Protein arginine methyltransferase 2 OS=Chlorocebus sabaeus GN=PRMT2 PE=3 SV=1,4571.726174,4273.736297,4556.738771,4872.796582,4797.12156,4995.946821,4571.726174,4273.736297,4556.738771,4872.796582,4797.12156,4995.946821
A0A0D9RWS9,19,9,85.4373,0.022359206,0.00514571,1.105790929,0.771180443,I,C,IQ motif containing GTPase activating protein 1 OS=Chlorocebus sabaeus GN=IQGAP1 PE=4 SV=1,55543.81017,57073.17909,60241.36138,64639.32058,61890.67431,64615.20133,55543.81017,57073.17909,60241.36138,64639.32058,61890.67431,64615.20133
A0A0D9QWM7,2,2,8.2065,0.022406111,0.005150351,1.447669033,0.770678241,I,C,Eukaryotic translation initiation factor 3 subunit F OS=Chlorocebus sabaeus GN=EIF3F PE=3 SV=1,2749.521974,3166.031913,3743.313038,4400.603514,4416.018405,5166.220624,2749.521974,3166.031913,3743.313038,4400.603514,4416.018405,5166.220624
A0A0D9QWP9,4,2,30.6078,0.022622092,0.005193799,1.227105797,0.768373579,C,I,Ribosomal protein L27a OS=Chlorocebus sabaeus GN=RPL27A PE=3 SV=1,10763.65513,12170.27474,11849.06348,9771.811609,8658.910346,9914.831817,10763.65513,12170.27474,11849.06348,9771.811609,8658.910346,9914.831817
A0A0D9S0Q8,3,2,26.6434,0.022671803,0.005199016,1.115716052,0.767844935,C,I,Small nuclear ribonucleoprotein polypeptide F OS=Chlorocebus sabaeus GN=SNRPF PE=4 SV=1,24810.85137,25965.83075,27318.30703,23841.80543,22895.12457,23258.46802,24810.85137,25965.83075,27318.30703,23841.80543,22895.12457,23258.46802
A0A0D9S704,3,1,15.8413,0.02299374,0.005266571,1.289363278,0.764437623,C,I,Serine and arginine rich splicing factor 11 OS=Chlorocebus sabaeus GN=SRSF11 PE=4 SV=1,2964.451753,3215.910659,3101.647609,2418.656453,2111.14932,2669.104092,2964.451753,3215.910659,3101.647609,2418.656453,2111.14932,2669.104092
A0A0D9RIX6,5,2,25.5624,0.023070699,0.005277923,1.201347841,0.76362727,I,C,Metadherin OS=Chlorocebus sabaeus GN=MTDH PE=4 SV=1,21719.04461,21544.50322,24208.4508,25221.63542,28318.49655,27517.20793,21719.04461,21544.50322,24208.4508,25221.63542,28318.49655,27517.20793
A0A0D9RMI9;A0A0D9R1K1,7,5,33.8809,0.023564726,0.005384547,1.154239219,0.758463412,C,I,Mitogen-activated protein kinase OS=Chlorocebus sabaeus GN=MAPK1 PE=3 SV=1,58521.06106,51517.58895,53039.31681,48060.70709,46597.96997,46627.43077,58521.06106,51517.58895,53039.31681,48060.70709,46597.96997,46627.43077
A0A0D9RKV5,3,2,17.114,0.023629115,0.005392863,1.057666881,0.757795219,I,C,Enhancer of rudimentary homolog OS=Chlorocebus sabaeus GN=ERH PE=3 SV=1,17605.68461,16956.36424,17841.1549,18347.74801,18458.0079,18619.37715,17605.68461,16956.36424,17841.1549,18347.74801,18458.0079,18619.37715
A0A0D9R760,5,3,26.1229,0.023691647,0.005397627,1.344146076,0.757147348,I,C,EH domain containing 4 OS=Chlorocebus sabaeus GN=EHD4 PE=3 SV=1,9891.800455,7483.328351,9206.245389,11741.32874,11709.35578,12278.56529,9891.800455,7483.328351,9206.245389,11741.32874,11709.35578,12278.56529
A0A0D9RS97,5,3,36.2398,0.023706032,0.005397627,1.132197987,0.756998457,C,I,Proteasome subunit alpha type OS=Chlorocebus sabaeus PE=3 SV=1,37049.21904,33777.0452,35911.70083,32763.7515,30452.30695,31058.94138,37049.21904,33777.0452,35911.70083,32763.7515,30452.30695,31058.94138
A0A0D9QVU1,1,1,5.0281,0.023929042,0.005441971,1.394524259,0.754697308,C,I,Eukaryotic translation initiation factor 4E OS=Chlorocebus sabaeus GN=EIF4E PE=3 SV=1,4388.473866,4891.932331,5132.967562,3384.73634,2979.391059,3971.564983,4388.473866,4891.932331,5132.967562,3384.73634,2979.391059,3971.564983
A0A0D9RT28,4,1,16.9452,0.024133116,0.00548191,1.184327993,0.752603135,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,8738.072145,9673.394909,10005.22429,8382.540047,7892.239965,7719.157064,8738.072145,9673.394909,10005.22429,8382.540047,7892.239965,7719.157064
A0A0D9QUH5,2,1,10.7629,0.024578416,0.005576485,1.315679267,0.748071708,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,1633.285671,1639.411575,1982.217605,1219.382756,1405.865808,1368.821255,1633.285671,1639.411575,1982.217605,1219.382756,1405.865808,1368.821255
A0A0D9SDT2,2,2,10.3503,0.024674005,0.005591587,1.245686848,0.747105776,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=3 SV=1,21968.91718,21396.97615,25767.59459,18950.31917,18813.0806,17734.88861,21968.91718,21396.97615,25767.59459,18950.31917,18813.0806,17734.88861
A0A0D9R432,2,1,10.3762,0.024757728,0.005603967,1.187151392,0.7462617,C,I,KRI1 homolog OS=Chlorocebus sabaeus GN=KRI1 PE=4 SV=1,14715.02371,14488.40641,15706.36765,11917.229,13689.5689,12223.08469,14715.02371,14488.40641,15706.36765,11917.229,13689.5689,12223.08469
A0A0D9S6V2,1,1,4.4601,0.025346755,0.005725004,1.181071628,0.740374717,I,C,Cysteine rich angiogenic inducer 61 OS=Chlorocebus sabaeus GN=CYR61 PE=4 SV=1,1267.384502,1215.299611,1352.299399,1528.502145,1408.098797,1592.78928,1267.384502,1215.299611,1352.299399,1528.502145,1408.098797,1592.78928
REVERSE3231,2,1,14.1936,0.025351898,0.005725004,1.148167735,0.740323708,C,I,Reversed Sequence 3231,24594.61654,24148.21504,27336.87161,21921.04166,21943.0091,22397.78611,24594.61654,24148.21504,27336.87161,21921.04166,21943.0091,22397.78611
A0A0D9SBE5,11,2,75.4011,0.025564296,0.005766208,1.551381039,0.738223107,I,C,Uncharacterized protein OS=Chlorocebus sabaeus PE=3 SV=1,3844.587895,5892.554681,5303.306051,8171.400789,7523.603724,7638.462303,3844.587895,5892.554681,5303.306051,8171.400789,7523.603724,7638.462303
A0A0D9RNB6,5,4,39.3956,0.026096456,0.005878634,1.138449101,0.733010487,C,I,Glycoprotein nmb OS=Chlorocebus sabaeus GN=GPNMB PE=4 SV=1,46097.86908,42959.95883,47849.21616,38590.60824,41326.89449,40339.99837,46097.86908,42959.95883,47849.21616,38590.60824,41326.89449,40339.99837
A0A0D9REQ6,3,1,14.9219,0.026123769,0.005878634,1.22595022,0.732744879,I,C,G3BP stress granule assembly factor 1 OS=Chlorocebus sabaeus GN=G3BP1 PE=4 SV=1,3974.627191,4301.373464,3834.887411,4485.912938,5173.651747,5187.781203,3974.627191,4301.373464,3834.887411,4485.912938,5173.651747,5187.781203
A0A0D9R161,4,4,20.6988,0.026353641,0.005923442,1.312684355,0.730516886,I,C,Dehydrogenase/reductase 11 OS=Chlorocebus sabaeus GN=DHRS11 PE=3 SV=1,55574.14299,50395.27761,42800.844,68442.38326,62649.14935,64196.86628,55574.14299,50395.27761,42800.844,68442.38326,62649.14935,64196.86628
A0A0D9RE73;A0A0D9RA76,7,6,71.9508,0.026505341,0.005950596,1.079055213,0.729053793,C,I,Clathrin light chain OS=Chlorocebus sabaeus GN=CLTA PE=3 SV=1,105717.0468,105441.9089,111597.8956,98779.29113,98217.66787,102113.6403,105717.0468,105441.9089,111597.8956,98779.29113,98217.66787,102113.6403
A0A0D9RLC1,1,1,4.8978,0.026692643,0.00598567,1.155120019,0.727255224,C,I,RNA binding motif (RNP1_ RRM) protein 3 OS=Chlorocebus sabaeus GN=RBM3 PE=4 SV=1,6714.025075,7617.871529,6831.362626,5945.613555,6185.497988,6190.152814,6714.025075,7617.871529,6831.362626,5945.613555,6185.497988,6190.152814
A0A0D9RPJ9,5,2,65.5928,0.026746648,0.005990806,1.3251409,0.726738252,C,I,Peroxiredoxin 4 OS=Chlorocebus sabaeus GN=PRDX4 PE=4 SV=1,8528.88393,8294.747901,6626.709709,5822.901151,5859.068073,6014.519915,8528.88393,8294.747901,6626.709709,5822.901151,5859.068073,6014.519915
A0A0D9RPC3;A0A0D9RHH6,6,1,42.1643,0.026834978,0.00600361,1.260876226,0.725894252,I,C,G protein subunit alpha i2 OS=Chlorocebus sabaeus GN=GNAI2 PE=4 SV=1,4112.180491,4608.447746,5172.270119,5941.775899,5960.529461,5614.919888,4112.180491,4608.447746,5172.270119,5941.775899,5960.529461,5614.919888
REVERSE6376,1,1,4.8848,0.027065254,0.006048103,1.499959826,0.723702955,C,I,Reversed Sequence 6376,13015.73976,15112.79999,18019.23323,9830.31121,11706.03056,9229.66421,13015.73976,15112.79999,18019.23323,9830.31121,11706.03056,9229.66421
A0A0D9R6X7,7,5,46.17,0.02725149,0.006082664,1.21828842,0.721940233,C,I,Single stranded DNA binding protein 1 OS=Chlorocebus sabaeus GN=SSBP1 PE=3 SV=1,241215.2495,248005.6826,289221.0766,209772.1129,212933.9625,216257.5691,241215.2495,248005.6826,289221.0766,209772.1129,212933.9625,216257.5691
A0A0D9RWH9,18,1,215.8387,0.027529239,0.006137547,1.896100174,0.719326991,I,C,Tubulin alpha chain OS=Chlorocebus sabaeus GN=TUBA3E PE=3 SV=1,52507.80232,50719.98936,28553.86477,84934.9161,85848.86847,79087.43715,52507.80232,50719.98936,28553.86477,84934.9161,85848.86847,79087.43715
A0A0D9QZW8,6,2,49.9514,0.027590521,0.006139871,1.289431804,0.718752922,I,C,Keratin 3 OS=Chlorocebus sabaeus GN=KRT3 PE=3 SV=1,3053.200313,3772.60997,3553.888196,4195.113698,4360.284882,4828.514756,3053.200313,3772.60997,3553.888196,4195.113698,4360.284882,4828.514756
A0A0D9RF48,4,3,36.6768,0.027608431,0.006139871,1.229382077,0.718585323,I,C,Macrophage migration inhibitory factor (glycosylation-inhibiting factor) OS=Chlorocebus sabaeus GN=MIF PE=4 SV=1,257243.0892,216806.0038,213631.676,272912.4383,289061.4069,283448.5668,257243.0892,216806.0038,213631.676,272912.4383,289061.4069,283448.5668
A0A0D9RI07,23,6,280.3035,0.027635288,0.006139871,1.086589559,0.718334132,C,I,Annexin OS=Chlorocebus sabaeus PE=3 SV=1,243193.074,243304.6443,261080.0142,227699.2472,232156.5783,228147.9624,243193.074,243304.6443,261080.0142,227699.2472,232156.5783,228147.9624
REVERSE9968,2,2,15.4704,0.028120014,0.006240368,1.079985009,0.713830269,I,C,Reversed Sequence 9968,27134.40749,28120.05081,29227.62272,30913.60518,30171.13421,30154.64165,27134.40749,28120.05081,29227.62272,30913.60518,30171.13421,30154.64165
A0A0D9QWT3,7,3,42.9181,0.028223351,0.006251734,1.320527602,0.712877329,I,C,Importin 7 OS=Chlorocebus sabaeus GN=IPO7 PE=4 SV=1,5627.087094,5473.454029,4332.631573,6569.050307,6890.330095,6920.550132,5627.087094,5473.454029,4332.631573,6569.050307,6890.330095,6920.550132
REVERSE18487,6,3,31.5195,0.028236142,0.006251734,1.191245442,0.712759552,C,I,Reversed Sequence 18487,26783.29763,26263.97313,30108.52179,24406.36024,22055.45899,23343.94,26783.29763,26263.97313,30108.52179,24406.36024,22055.45899,23343.94
A0A0D9R0F0,2,1,9.9412,0.028473497,0.006290286,1.633758418,0.710580984,I,C,Uncharacterized protein OS=Chlorocebus sabaeus PE=3 SV=1,1835.047059,2647.325298,1676.546983,3097.879885,3215.824227,3748.482204,1835.047059,2647.325298,1676.546983,3097.879885,3215.824227,3748.482204
A0A0D9RMS2,4,3,22.4026,0.028475578,0.006290286,1.159340601,0.710561948,I,C,Platelet activating factor acetylhydrolase 1b regulatory subunit 1 OS=Chlorocebus sabaeus GN=PAFAH1B1 PE=3 SV=1,43272.96473,48666.67036,49048.40499,54822.91655,52619.29695,56010.9456,43272.96473,48666.67036,49048.40499,54822.91655,52619.29695,56010.9456
A0A0D9RZQ0,6,1,43.4582,0.028596746,0.006309817,8.700846789,0.709454955,I,C,Solute carrier family 25 member 6 OS=Chlorocebus sabaeus GN=SLC25A6 PE=3 SV=1,63.72816385,525.4227505,763.4902155,3978.965247,3865.026922,3925.131061,63.72816385,525.4227505,763.4902155,3978.965247,3865.026922,3925.131061
A0A0D9RRV1,10,8,69.111,0.02883675,0.006355493,1.134737394,0.707272382,C,I,Inosine-5'-monophosphate dehydrogenase OS=Chlorocebus sabaeus GN=IMPDH2 PE=3 SV=1,78863.82591,70121.42919,75101.08031,66536.77336,63787.87885,67153.93327,78863.82591,70121.42919,75101.08031,66536.77336,63787.87885,67153.93327
A0A0D9RFC8,4,1,24.7593,0.028892328,0.006360465,1.19520909,0.706768867,C,I,Endoplasmic reticulum protein 44 OS=Chlorocebus sabaeus GN=ERP44 PE=4 SV=1,17998.06683,16049.03412,16080.38219,13055.60893,14872.05406,14012.6833,17998.06683,16049.03412,16080.38219,13055.60893,14872.05406,14012.6833
A0A0D9R7R9,2,1,19.213,0.028986243,0.006373855,1.187902376,0.705919647,C,I,Pterin-4 alpha-carbinolamine dehydratase 1 OS=Chlorocebus sabaeus GN=PCBD1 PE=3 SV=1,11654.6596,12270.72889,11214.84026,8996.863952,10216.78316,10368.10089,11654.6596,12270.72889,11214.84026,8996.863952,10216.78316,10368.10089
A0A0D9QVE2,1,1,3.621,0.02917655,0.006408387,903.8878683,0.704205048,C,I,Lymphoid enhancer binding factor 1 OS=Chlorocebus sabaeus GN=LEF1 PE=4 SV=1,40.40169122,8394.508059,703.0668803,10.10963522,0,0,40.40169122,8394.508059,703.0668803,10.10963522,0,0
